SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1619,NEGRA,F,0
XVII,1619,NEGRA,M,0
XVII,1619,SIN_CATEGORÍA,F,0
XVII,1619,SIN_CATEGORÍA,M,0
XVII,1620,CASTIZA,F,0
XVII,1620,CASTIZA,M,0
XVII,1620,ESPAÑOLA,F,2
XVII,1620,ESPAÑOLA,M,1
XVII,1620,INDIA,F,2
XVII,1620,INDIA,M,5
XVII,1620,MESTIZA,F,0
XVII,1620,MESTIZA,M,0
XVII,1620,MORISCA,F,0
XVII,1620,MORISCA,M,0
XVII,1620,MULATA,F,1
XVII,1620,MULATA,M,0
XVII,1620,NEGRA,F,0
XVII,1620,NEGRA,M,3
XVII,1620,SIN_CATEGORÍA,F,0
XVII,1620,SIN_CATEGORÍA,M,0
XVII,1621,CASTIZA,F,0
XVII,1621,CASTIZA,M,0
XVII,1621,ESPAÑOLA,F,1
XVII,1621,ESPAÑOLA,M,0
XVII,1621,INDIA,F,0
XVII,1621,INDIA,M,5
XVII,1621,MESTIZA,F,0
XVII,1621,MESTIZA,M,0
XVII,1621,MORISCA,F,0
XVII,1621,MORISCA,M,0
XVII,1621,MULATA,F,0
XVII,1621,MULATA,M,0
XVII,1621,NEGRA,F,0
XVII,1621,NEGRA,M,0
XVII,1621,SIN_CATEGORÍA,F,0
XVII,1621,SIN_CATEGORÍA,M,0
XVII,1622,CASTIZA,F,0
XVII,1622,CASTIZA,M,0
XVII,1622,ESPAÑOLA,F,1
XVII,1622,ESPAÑOLA,M,2
XVII,1622,INDIA,F,0
XVII,1622,INDIA,M,0
XVII,1622,MESTIZA,F,0
XVII,1622,MESTIZA,M,0
XVII,1622,MORISCA,F,0
XVII,1622,MORISCA,M,0
XVII,1622,MULATA,F,0
XVII,1622,MULATA,M,0
XVII,1622,NEGRA,F,0
XVII,1622,NEGRA,M,0
XVII,1622,SIN_CATEGORÍA,F,1
XVII,1622,SIN_CATEGORÍA,M,0
XVII,1623,CASTIZA,F,0
XVII,1623,CASTIZA,M,0
XVII,1623,ESPAÑOLA,F,0
XVII,1623,ESPAÑOLA,M,0
XVII,1623,INDIA,F,0
XVII,1623,INDIA,M,1
XVII,1623,MESTIZA,F,0
XVII,1623,MESTIZA,M,0
XVII,1623,MORISCA,F,0
XVII,1623,MORISCA,M,0
XVII,1623,MULATA,F,0
XVII,1623,MULATA,M,0
XVII,1623,NEGRA,F,1
XVII,1623,NEGRA,M,0
XVII,1623,SIN_CATEGORÍA,F,0
XVII,1623,SIN_CATEGORÍA,M,0
XVII,1624,CASTIZA,F,0
XVII,1624,CASTIZA,M,0
XVII,1624,ESPAÑOLA,F,0
XVII,1624,ESPAÑOLA,M,1
XVII,1624,INDIA,F,1
XVII,1624,INDIA,M,1
XVII,1624,MESTIZA,F,0
XVII,1624,MESTIZA,M,0
XVII,1624,MORISCA,F,0
XVII,1624,MORISCA,M,0
XVII,1624,MULATA,F,0
XVII,1624,MULATA,M,0
XVII,1624,NEGRA,F,0
XVII,1624,NEGRA,M,0
XVII,1624,SIN_CATEGORÍA,F,0
XVII,1624,SIN_CATEGORÍA,M,0
XVII,1625,CASTIZA,F,0
XVII,1625,CASTIZA,M,0
XVII,1625,ESPAÑOLA,F,0
XVII,1625,ESPAÑOLA,M,1
XVII,1625,INDIA,F,0
XVII,1625,INDIA,M,6
XVII,1625,MESTIZA,F,0
XVII,1625,MESTIZA,M,0
XVII,1625,MORISCA,F,0
XVII,1625,MORISCA,M,0
XVII,1625,MULATA,F,0
XVII,1625,MULATA,M,0
XVII,1625,NEGRA,F,1
XVII,1625,NEGRA,M,0
XVII,1625,SIN_CATEGORÍA,F,0
XVII,1625,SIN_CATEGORÍA,M,0
XVII,1626,CASTIZA,F,0
XVII,1626,CASTIZA,M,0
XVII,1626,ESPAÑOLA,F,0
XVII,1626,ESPAÑOLA,M,0
XVII,1626,INDIA,F,0
XVII,1626,INDIA,M,0
XVII,1626,MESTIZA,F,0
XVII,1626,MESTIZA,M,0
XVII,1626,MORISCA,F,0
XVII,1626,MORISCA,M,0
XVII,1626,MULATA,F,0
XVII,1626,MULATA,M,0
XVII,1626,NEGRA,F,0
XVII,1626,NEGRA,M,0
