SIGLO,AÑO,CALIDADES,GENERO,LEGITIMO,ILEGITIMO,TOTAL
XVII,1614,ESPAÑOLA,F,0,0,0
XVII,1614,ESPAÑOLA,F,,,0
XVII,1614,ESPAÑOLA,M,0,0,0
XVII,1614,ESPAÑOLA,M,,,0
XVII,1614,MESTIZA,F,0,0,0
XVII,1614,MESTIZA,F,,,0
XVII,1614,MESTIZA,M,0,0,0
XVII,1614,MESTIZA,M,,,0
XVII,1614,CASTIZA,F,0,0,0
XVII,1614,CASTIZA,F,,,0
XVII,1614,CASTIZA,M,0,0,0
XVII,1614,CASTIZA,M,,,0
XVII,1614,MORISCA,F,0,0,0
XVII,1614,MORISCA,F,,,0
XVII,1614,MORISCA,M,0,0,0
XVII,1614,MORISCA,M,,,0
XVII,1614,MULATA,F,0,0,0
XVII,1614,MULATA,F,,,0
XVII,1614,MULATA,M,0,0,0
XVII,1614,MULATA,M,,,0
XVII,1614,NEGRA,F,0,0,0
XVII,1614,NEGRA,F,,,0
XVII,1614,NEGRA,M,0,0,0
XVII,1614,NEGRA,M,,,0
XVII,1614,SIN_CATEGORÍA,F,0,0,0
XVII,1614,SIN_CATEGORÍA,F,,,0
XVII,1614,SIN_CATEGORÍA,M,0,0,0
XVII,1614,SIN_CATEGORÍA,M,,,0
XVII,1615,INDIA,F,0,0,0
XVII,1615,INDIA,F,,,0
XVII,1615,INDIA,M,0,0,0
XVII,1615,INDIA,M,,,0
XVII,1615,ESPAÑOLA,F,0,0,0
XVII,1615,ESPAÑOLA,F,,,0
XVII,1615,ESPAÑOLA,M,0,0,0
XVII,1615,ESPAÑOLA,M,,,0
XVII,1615,MESTIZA,F,0,0,0
XVII,1615,MESTIZA,F,,,0
XVII,1615,MESTIZA,M,0,0,0
XVII,1615,MESTIZA,M,,,0
XVII,1615,CASTIZA,F,0,0,0
XVII,1615,CASTIZA,F,,,0
XVII,1615,CASTIZA,M,0,0,0
XVII,1615,CASTIZA,M,,,0
XVII,1615,MORISCA,F,0,0,0
XVII,1615,MORISCA,F,,,0
XVII,1615,MORISCA,M,0,0,0
XVII,1615,MORISCA,M,,,0
XVII,1615,MULATA,F,0,0,0
XVII,1615,MULATA,F,,,0
XVII,1615,MULATA,M,0,0,0
XVII,1615,MULATA,M,,,0
XVII,1615,NEGRA,F,0,0,0
XVII,1615,NEGRA,F,,,0
XVII,1615,NEGRA,M,0,0,0
XVII,1615,NEGRA,M,,,0
XVII,1615,SIN_CATEGORÍA,F,0,0,0
XVII,1615,SIN_CATEGORÍA,F,,,0
XVII,1615,SIN_CATEGORÍA,M,0,0,0
XVII,1615,SIN_CATEGORÍA,M,,,0
XVII,1616,INDIA,F,2,0,2
XVII,1616,INDIA,F,,,0
XVII,1616,INDIA,M,2,0,2
XVII,1616,INDIA,M,,,0
XVII,1616,ESPAÑOLA,F,1,0,1
XVII,1616,ESPAÑOLA,F,,,0
XVII,1616,ESPAÑOLA,M,0,0,0
XVII,1616,ESPAÑOLA,M,,,0
XVII,1616,MESTIZA,F,0,0,0
XVII,1616,MESTIZA,F,,,0
XVII,1616,MESTIZA,M,0,0,0
XVII,1616,MESTIZA,M,,,0
XVII,1616,CASTIZA,F,0,0,0
XVII,1616,CASTIZA,F,,,0
XVII,1616,CASTIZA,M,0,0,0
XVII,1616,CASTIZA,M,,,0
XVII,1616,MORISCA,F,0,0,0
XVII,1616,MORISCA,F,,,0
XVII,1616,MORISCA,M,0,0,0
XVII,1616,MORISCA,M,,,0
XVII,1616,MULATA,F,0,0,0
XVII,1616,MULATA,F,,,0
XVII,1616,MULATA,M,0,0,0
XVII,1616,MULATA,M,,,0
XVII,1616,NEGRA,F,0,0,0
XVII,1616,NEGRA,F,,,0
XVII,1616,NEGRA,M,0,0,0
XVII,1616,NEGRA,M,,,0
XVII,1616,SIN_CATEGORÍA,F,8,0,8
XVII,1616,SIN_CATEGORÍA,F,,,0
XVII,1616,SIN_CATEGORÍA,M,5,0,5
XVII,1616,SIN_CATEGORÍA,M,,,0
XVII,1617,INDIA,F,2,0,2
XVII,1617,INDIA,F,,,0
XVII,1617,INDIA,M,3,0,3
XVII,1617,INDIA,M,,,0
XVII,1617,ESPAÑOLA,F,3,0,3
XVII,1617,ESPAÑOLA,F,,,0
XVII,1617,ESPAÑOLA,M,1,0,1
XVII,1617,ESPAÑOLA,M,,,0
XVII,1617,MESTIZA,F,0,0,0
XVII,1617,MESTIZA,F,,,0
XVII,1617,MESTIZA,M,0,0,0
XVII,1617,MESTIZA,M,,,0
XVII,1617,CASTIZA,F,0,0,0
XVII,1617,CASTIZA,F,,,0
XVII,1617,CASTIZA,M,0,0,0
XVII,1617,CASTIZA,M,,,0
XVII,1617,MORISCA,F,0,0,0
XVII,1617,MORISCA,F,,,0
XVII,1617,MORISCA,M,0,0,0
XVII,1617,MORISCA,M,,,0
XVII,1617,MULATA,F,0,0,0
